company,eps_growth,debt_ratio,volume_spike,ceo_sentiment,fraud_risk
"Hopkins, Clayton and Smith",0.125,0.23,0.05,0.3,0.0
Johns-Humphrey,0.029,0.18,0.01,-0.85,0.0
Rivera LLC,0.147,0.61,0.02,-0.25,0.0
"Nash, Butler and Sullivan",0.278,0.67,0.08,0.61,0.0
Nichols and Sons,0.015,0.13,0.32,-0.13,1.0
Sullivan-Cortez,0.015,0.85,0.17,0.99,0.0
"Nguyen, Sullivan and Nelson",0.287,0.14,0.14,0.12,0.0
"Bass, Davis and Myers",0.165,0.53,0.07,-0.36,0.0
Castillo Ltd,-0.02,0.67,0.54,-0.56,0.0
Powers PLC,0.131,0.8,0.1,-0.3,1.0
Atkins PLC,-0.02,0.67,0.02,-0.25,0.0
"Wheeler, Blevins and Greene",-0.02,0.74,0.19,-0.86,0.0
"Lawrence, Allen and Herrera",0.086,0.37,0.02,-0.26,0.0
"Bell, Andrews and Bowen",-0.237,0.75,0.08,-0.07,0.0
"Martin, Baker and Mcguire",-0.209,0.16,0.14,0.45,0.0
Potter Group,-0.034,0.82,0.41,0.31,0.0
Hernandez Ltd,-0.102,0.54,0.14,0.42,0.0
Perry-Walker,0.097,0.75,0.24,-0.98,0.0
"Park, Morgan and Peterson",-0.086,0.46,0.99,-0.56,0.0
"Griffin, Banks and Wu",-0.162,0.61,0.03,0.32,0.0
Curry PLC,0.27,0.52,0.06,-0.03,0.0
"Powell, Brown and Ward",0.016,0.69,0.1,-0.99,1.0
"Dennis, Long and Gay",0.06,0.17,0.11,0.61,0.0
Sanchez-Bell,-0.164,0.15,0.11,0.55,0.0
"Parks, Lambert and Webb",-0.032,0.3,0.48,0.1,0.0
Ward-Ali,0.067,0.23,0.25,-0.87,0.0
Yang-Garcia,-0.123,0.8,0.19,0.53,0.0
"Stewart, Mitchell and Haynes",0.106,0.28,0.07,0.17,0.0
Carter-Montes,-0.04,0.88,0.35,0.56,0.0
Hall-Hull,0.006,0.37,0.62,0.5,0.0
Gonzalez Inc,-0.04,0.25,0.34,0.61,1.0
"Joseph, Palmer and Parker",0.328,0.73,0.0,0.04,0.0
Hale PLC,0.048,0.63,0.2,-0.72,1.0
"Jimenez, Ibarra and Edwards",-0.109,0.5,0.01,0.34,0.0
Moses-Duffy,0.173,0.54,0.06,0.24,0.0
Ward-Campos,-0.133,0.68,0.01,0.48,0.0
Cross-Williams,0.081,0.28,0.19,-0.66,0.0
Baker-Cox,-0.244,0.9,0.23,-0.61,0.0
Wilson Inc,-0.149,0.88,0.02,0.78,0.0
Fuentes-Flynn,0.08,0.62,0.1,0.5,1.0
"Cole, Cross and Jennings",0.161,0.26,0.12,0.82,0.0
"Hall, Chan and Johnson",0.076,0.64,0.09,0.52,0.0
Harrison-Moore,0.033,0.16,0.03,0.19,0.0
"Watson, Gross and Herrera",0.005,0.12,0.11,0.31,0.0
Nelson Group,-0.172,0.31,0.28,0.78,0.0
Krause Ltd,-0.058,0.47,0.01,0.16,1.0
Campbell LLC,-0.019,0.79,0.02,0.26,0.0
"Anderson, Lopez and Hanson",0.209,0.68,0.09,-0.69,0.0
Zamora-Romero,0.102,0.69,0.57,-0.05,0.0
"Medina, Cochran and Fox",-0.214,0.44,0.22,0.43,0.0
Gomez Inc,0.099,0.38,0.23,-0.46,0.0
"Hancock, Patton and Yoder",-0.008,0.4,0.09,-0.6,0.0
Carr-Rivera,-0.052,0.89,0.18,-0.37,0.0
Arellano-Rivas,0.142,0.13,0.0,-0.52,0.0
Campbell and Sons,0.205,0.79,0.2,-0.57,0.0
"Mcfarland, Rogers and Gonzalez",0.19,0.56,0.49,-0.15,0.0
"Vaughn, Hicks and French",-0.076,0.45,0.19,0.82,0.0
"Perkins, Ward and Avila",0.004,0.68,0.41,0.01,0.0
Miller-Martin,0.1,0.49,0.26,-0.62,0.0
"Kennedy, Smith and Campbell",0.196,0.8,0.03,-0.85,0.0
Hill-Young,-0.022,0.82,0.47,0.39,0.0
Marshall Inc,0.022,0.44,0.01,-0.23,0.0
"Leon, Davis and Robertson",-0.116,0.32,0.15,0.64,0.0
Johnston-Ashley,-0.129,0.57,0.03,0.32,0.0
Maddox-White,0.172,0.83,0.0,0.59,1.0
"Hester, Carroll and Snyder",0.253,0.27,0.11,-0.46,0.0
White-Torres,0.039,0.6,0.07,0.38,0.0
Garner-Morton,0.201,0.61,0.13,-0.47,0.0
Miller-Hernandez,0.104,0.69,0.17,0.88,0.0
"Harris, Wade and Terrell",-0.047,0.21,0.01,0.27,0.0
"Fowler, Walker and Nelson",0.104,0.67,0.03,-0.35,1.0
Roth-Webb,0.281,0.83,0.16,-0.46,0.0
"Salazar, Rose and Wagner",0.045,0.24,0.08,-0.62,0.0
Ramos LLC,0.285,0.29,0.26,0.39,0.0
Gentry-Cox,-0.343,0.88,0.21,-0.56,0.0
Diaz-Garcia,0.173,0.24,0.37,0.19,0.0
"Burton, Smith and Mcdowell",0.063,0.78,0.24,-0.47,1.0
Mahoney and Sons,0.005,0.49,0.11,0.32,0.0
Thompson PLC,0.064,0.3,0.22,0.63,0.0
Leonard-Ferguson,-0.248,0.8,0.06,0.56,0.0
Wilson-Mitchell,0.017,0.46,0.07,0.52,0.0
Robbins PLC,0.104,0.51,0.31,-0.62,0.0
White-Sutton,0.272,0.39,0.12,-0.82,0.0
Miller-Turner,-0.028,0.57,0.32,0.4,0.0
"Smith, Mathis and Hudson",-0.071,0.23,0.35,-0.26,1.0
"Davidson, Ramirez and Cain",-0.025,0.41,0.39,-0.14,1.0
Hanson LLC,0.187,0.88,0.5,-0.94,0.0
Bennett LLC,0.099,0.31,0.11,-0.48,0.0
Larsen-Moon,-0.029,0.63,0.08,-0.93,0.0
Williams Inc,0.127,0.36,0.17,0.76,0.0
Mejia and Sons,0.065,0.72,0.09,-0.51,0.0
Mccoy LLC,0.195,0.2,0.18,0.11,1.0
Ortega-Miller,-0.055,0.88,0.24,-0.92,1.0
Dean Ltd,0.001,0.46,0.23,0.33,1.0
Ferguson-Bishop,-0.009,0.29,0.09,-0.35,0.0
Martinez-Gibbs,-0.17,0.16,0.04,0.8,0.0
"Harvey, Woodard and Villa",0.094,0.24,0.11,0.78,0.0
Johnson Inc,0.089,0.52,0.03,-0.35,1.0
Wilcox-Williams,0.051,0.37,0.44,0.8,0.0
"Lowe, Perez and Kelly",0.015,0.76,0.08,0.99,0.0
Clark LLC,-0.162,0.44,0.03,0.65,0.0
King Inc,-0.013,0.3,0.01,0.69,1.0
Tanner and Sons,-0.001,0.59,0.21,-0.5,0.0
"Rubio, Townsend and Johnson",-0.07,0.67,0.2,0.15,0.0
Figueroa PLC,0.026,0.23,0.08,-0.87,0.0
"Evans, Franco and Thompson",0.111,0.23,0.01,-0.81,0.0
"Nelson, Gonzalez and Howard",0.333,0.13,0.11,1.0,0.0
Smith Inc,0.076,0.69,0.07,-0.35,0.0
Barton-Davis,0.089,0.63,0.23,0.5,0.0
"Melton, Smith and Mason",0.039,0.48,0.19,0.61,0.0
Weeks-Palmer,-0.238,0.78,0.09,0.72,0.0
"Larsen, Ward and Griffith",0.046,0.74,0.05,1.0,0.0
Myers PLC,0.059,0.57,0.89,-0.52,0.0
Bentley Inc,0.419,0.79,0.12,-0.92,0.0
Fuller-Andrews,0.021,0.26,0.23,-0.18,1.0
"Boone, Perry and Long",0.095,0.19,0.03,-0.74,1.0
"Brown, Estrada and Harris",0.045,0.32,0.13,-0.96,0.0
Reyes-Sanchez,-0.125,0.15,0.01,-0.28,0.0
Oneill and Sons,0.221,0.52,0.14,0.57,0.0
Michael Inc,0.163,0.85,0.66,0.13,0.0
Valenzuela-Owens,0.169,0.13,0.1,-0.37,0.0
Benton Group,-0.086,0.2,0.01,0.31,1.0
Brooks-Baird,0.26,0.46,0.01,-0.54,0.0
Morris-Potter,-0.16,0.85,0.1,-0.97,0.0
Morrison Group,0.138,0.35,0.03,0.53,1.0
Banks and Sons,0.379,0.51,0.0,0.25,0.0
Nelson Group,-0.099,0.13,0.28,0.52,0.0
Harris Group,-0.035,0.22,0.12,-0.92,0.0
Hicks-Romero,0.065,0.89,0.07,0.67,0.0
Rogers-Daniel,-0.026,0.87,0.46,0.24,0.0
Mcdaniel-Flores,-0.183,0.1,0.02,0.13,0.0
Robertson-Blevins,0.06,0.86,0.62,0.25,1.0
"Novak, Howe and Farmer",-0.109,0.61,0.08,0.73,0.0
Patton-Dickerson,0.121,0.79,0.44,0.17,0.0
Newton Inc,-0.088,0.46,0.18,0.16,0.0
"Shelton, Berger and Munoz",0.282,0.51,0.35,0.98,0.0
"Rollins, Swanson and Fowler",-0.067,0.49,0.83,0.51,0.0
Higgins LLC,0.002,0.63,0.07,-0.12,0.0
"Lowe, Davis and Welch",0.172,0.21,0.65,0.41,1.0
Hansen-Perez,-0.135,0.12,0.1,-0.22,0.0
Mitchell-Weaver,0.084,0.35,0.1,-0.54,0.0
"Rodriguez, Johnson and Carter",0.246,0.66,0.08,0.19,0.0
"Calderon, White and Campos",-0.191,0.26,0.16,0.86,0.0
"Rodriguez, Anderson and Watkins",0.078,0.64,0.03,0.86,0.0
Harper PLC,0.089,0.88,0.16,-0.32,0.0
Greer Group,0.167,0.18,0.16,0.06,0.0
"Johnson, Berry and Wise",-0.136,0.64,0.29,-0.58,0.0
Morgan-Alexander,-0.148,0.46,0.36,0.99,0.0
"Gilmore, Petersen and Martin",0.128,0.79,0.12,0.96,0.0
Roberts-Wilson,0.095,0.24,0.07,0.3,0.0
Richard-Torres,0.088,0.65,0.06,0.61,0.0
Valenzuela-Day,0.102,0.77,0.04,0.43,0.0
Gregory-Anderson,-0.052,0.86,0.01,0.19,0.0
Meza Inc,0.085,0.65,0.08,-0.89,0.0
"Leonard, Smith and Garrett",0.094,0.5,0.06,-0.09,0.0
Gibbs-Willis,-0.057,0.59,0.68,0.35,0.0
Wilson-Kane,0.33,0.8,0.16,0.36,0.0
Duffy Inc,0.121,0.56,0.09,-0.25,0.0
"Harper, Buchanan and Wyatt",-0.129,0.12,0.17,0.88,0.0
Brooks-Davis,0.148,0.84,0.03,-0.67,1.0
"Bentley, Bradley and Gray",-0.096,0.65,0.12,0.0,0.0
"Gregory, Phillips and Patel",0.168,0.64,0.2,0.38,0.0
Miller Group,0.224,0.27,0.13,0.39,0.0
Martinez Ltd,-0.073,0.63,0.1,0.3,0.0
"Richards, Rodriguez and Cruz",0.195,0.42,1.02,-0.45,0.0
Baldwin Group,0.112,0.62,0.42,-0.69,0.0
Smith-Herrera,0.173,0.19,0.2,0.27,0.0
Miller PLC,0.335,0.63,0.17,0.2,0.0
"Gutierrez, Brown and Hall",0.013,0.9,0.19,-0.64,0.0
Tyler-Scott,-0.063,0.14,0.04,0.41,0.0
Lee-Morgan,-0.083,0.88,0.1,-0.09,0.0
Baker PLC,-0.072,0.43,0.01,0.34,0.0
Thomas-Nguyen,0.038,0.8,0.13,0.67,0.0
Khan-Alexander,0.101,0.73,0.16,-0.66,0.0
Olson-Hodges,0.092,0.55,0.05,-0.96,0.0
Matthews Group,0.174,0.69,0.67,0.56,0.0
Gray PLC,0.052,0.8,0.48,0.22,0.0
"Ortega, Berry and Thomas",0.268,0.42,0.26,0.4,0.0
Smith and Sons,0.01,0.36,0.15,0.68,0.0
"Perez, Welch and Morgan",0.458,0.63,0.41,0.61,0.0
"Nelson, Wilson and Harrington",0.144,0.75,0.03,0.92,0.0
Thompson and Sons,-0.079,0.71,0.31,0.07,0.0
Martin Group,-0.111,0.74,0.03,-0.02,0.0
Leon-Mcgrath,0.122,0.45,0.32,-0.2,0.0
Flores-Duncan,0.016,0.75,0.06,-0.69,0.0
Villegas-Camacho,0.157,0.2,0.42,0.15,0.0
"King, Bridges and Brennan",0.121,0.54,0.58,-0.45,0.0
"Patton, Cook and Berger",0.039,0.1,0.03,0.84,0.0
"Carpenter, Carter and Sosa",-0.077,0.36,0.12,0.17,0.0
Perez Inc,-0.177,0.39,0.79,0.19,0.0
Travis and Sons,-0.017,0.42,0.13,-0.29,1.0
"Marsh, Park and Phillips",0.178,0.66,0.4,-0.9,0.0
Simpson LLC,0.082,0.41,0.18,-0.94,0.0
Holt and Sons,-0.137,0.46,0.09,-0.15,0.0
"Foster, Good and Ford",0.076,0.29,0.07,-0.83,0.0
Burns and Sons,0.108,0.4,0.05,0.21,0.0
Edwards Ltd,-0.083,0.28,0.29,0.76,0.0
"Chavez, Mcpherson and Moran",0.073,0.16,0.1,0.77,0.0
Hernandez Ltd,0.059,0.58,0.14,0.32,0.0
Rocha-Smith,-0.121,0.63,0.14,-0.58,0.0
Harris PLC,0.104,0.6,0.17,0.73,0.0
Salazar-Figueroa,0.134,0.47,0.4,0.77,0.0
Moon-Murphy,0.212,0.4,0.79,-0.61,0.0
"Lee, Hernandez and Freeman",0.208,0.79,0.1,0.47,0.0
Miller Group,-0.157,0.52,0.35,-0.43,0.0
Watson-Oconnor,-0.091,0.48,0.29,0.61,0.0
Maxwell PLC,0.127,0.12,0.17,0.99,0.0
"Tran, Buchanan and Barton",0.127,0.37,0.62,-0.94,1.0
